  279.53  280.53  281.53  282.53  283.53  284.52  285.52  286.52  287.52  288.52
  289.52  290.52  291.52  292.52  293.52  294.52  295.52  296.52  297.52  298.52
  299.51  300.51  301.51  302.51  303.51  304.51  305.51  306.51  307.51  308.51
  309.51  310.51  311.51  312.50  313.50  314.50  315.50  316.50  317.50  318.50
  319.50  320.50  321.50  322.50  323.49  324.49  325.49  326.49  327.49  328.49
  329.49  330.49  331.48  332.48  333.48  334.48  335.48  336.48  337.48  338.48
  339.47  340.47  341.47  342.47  343.47  344.47  345.47  346.47  347.46  348.46
  349.46  350.46  351.46  352.46  353.46  354.46  355.46  356.45  357.45  358.45
  359.45    0.45    1.45    2.45    3.45    4.45    5.45    6.44    7.44    8.44
    9.44   10.44   11.44   12.44   13.44   14.44   15.44   16.44   17.44   18.43
   19.43   20.43   21.43   22.43   23.43   24.43   25.43   26.43   27.43   28.43
   29.43   30.43   31.43   32.43   33.43   34.43   35.43   36.43   37.43   38.43
   39.42   40.42   41.42   42.42   43.42   44.42   45.42   46.42   47.42   48.42
   49.42   50.42   51.42   52.42   53.42   54.42   55.42   56.42   57.42   58.42
   59.42   60.42   61.42   62.43   63.43   64.43   65.43   66.43   67.43   68.43
   69.43   70.43   71.43   72.43   73.43   74.43   75.43   76.43   77.43   78.43
   79.43   80.43   81.43   82.44   83.44   84.44   85.44   86.44   87.44   88.44
   89.44   90.44   91.44   92.44   93.44   94.45   95.45   96.45   97.45   98.45
   99.45  100.45  101.45  102.45  103.45  104.46  105.46  106.46  107.46  108.46
  109.46  110.46  111.46  112.47  113.47  114.47  115.47  116.47  117.47  118.47
  119.47  120.48  121.48  122.48  123.48  124.48  125.48  126.48  127.48  128.49
  129.49  130.49  131.49  132.49  133.49  134.49  135.50  136.50  137.50  138.50
  139.50  140.50  141.50  142.50  143.51  144.51  145.51  146.51  147.51  148.51
  149.51  150.52  151.52  152.52  153.52  154.52  155.52  156.52  157.52  158.53
  159.53  160.53  161.53  162.53  163.53  164.53  165.53  166.54  167.54  168.54
  169.54  170.54  171.54  172.54  173.54  174.55  175.55  176.55  177.55  178.55
  179.55  180.55  181.55  182.55  183.55  184.56  185.56  186.56  187.56  188.56
  189.56  190.56  191.56  192.56  193.56  194.56  195.56  196.57  197.57  198.57
  199.57  200.57  201.57  202.57  203.57  204.57  205.57  206.57  207.57  208.57
  209.57  210.57  211.57  212.57  213.57  214.57  215.57  216.58  217.58  218.58
  219.58  220.58  221.58  222.58  223.58  224.58  225.58  226.58  227.58  228.58
  229.58  230.58  231.58  232.58  233.58  234.58  235.58  236.58  237.58  238.58
  239.57  240.57  241.57  242.57  243.57  244.57  245.57  246.57  247.57  248.57
  249.57  250.57  251.57  252.57  253.57  254.57  255.57  256.57  257.57  258.57
  259.57  260.56  261.56  262.56  263.56  264.56  265.56  266.56  267.56  268.56
  269.56  270.56  271.56  272.55  273.55  274.55  275.55  276.55  277.55  278.55
  279.55  280.55  281.55  282.54  283.54  284.54  285.54  286.54  287.54  288.54
  289.54  290.54  291.53  292.53  293.53  294.53  295.53  296.53  297.53  298.53
  299.52  300.52  301.52  302.52  303.52  304.52  305.52  306.52  307.51  308.51
  309.51  310.51  311.51  312.51  313.51  314.51  315.50  316.50  317.50  318.50
  319.50  320.50  321.50  322.49  323.49  324.49  325.49  326.49  327.48  328.48
  329.48  330.48  331.48  332.47  333.47  334.47  335.47  336.47  337.46  338.46
  339.46  340.46  341.46  342.45  343.45  344.45  345.45  346.45  347.45  348.44
  349.44  350.44  351.44  352.44  353.43  354.43  355.43  356.43  357.43  358.43
  359.43    0.42    1.42    2.42    3.42    4.42    5.42    6.41    7.41    8.41
    9.41   10.41   11.41   12.41   13.41   14.40   15.40   16.40   17.40   18.40
   19.40   20.40   21.40   22.40   23.39   24.39   25.39   26.39   27.39   28.39
   29.39   30.39   31.39   32.39   33.39   34.39   35.39   36.39   37.38   38.38
   39.38   40.38   41.38   42.38   43.38   44.38   45.38   46.38   47.38   48.38
   49.38   50.38   51.38   52.38   53.38   54.38   55.38   56.38   57.38   58.38
   59.38   60.38   61.38   62.38   63.38   64.38   65.39   66.39   67.39   68.39
   69.39   70.39   71.39   72.39   73.39   74.39   75.39   76.39   77.39   78.40
   79.40   80.40   81.40   82.40   83.40   84.40   85.40   86.40   87.41   88.41
   89.41   90.41   91.41   92.41   93.41   94.42   95.42   96.42   97.42   98.42
   99.42  100.42  101.43  102.43  103.43  104.43  105.43  106.43  107.44  108.44
  109.44  110.44  111.44  112.45  113.45  114.45  115.45  116.45  117.46  118.46
  119.46  120.46  121.46  122.47  123.47  124.47  125.47  126.47  127.48  128.48
  129.48  130.48  131.48  132.49  133.49  134.49  135.49  136.49  137.50  138.50
  139.50  140.50  141.51  142.51  143.51  144.51  145.51  146.52  147.52  148.52
  149.52  150.52  151.53  152.53  153.53  154.53  155.53  156.54  157.54  158.54
  159.54  160.54  161.55  162.55  163.55  164.55  165.55  166.56  167.56  168.56
  169.56  170.56  171.57  172.57  173.57  174.57  175.57  176.57  177.58  178.58
  179.58  180.58  181.58  182.58  183.58  184.59  185.59  186.59  187.59  188.59
  189.59  190.59  191.60  192.60  193.60  194.60  195.60  196.60  197.60  198.60
  199.60  200.61  201.61  202.61  203.61  204.61  205.61  206.61  207.61  208.61
  209.61  210.61  211.61  212.61  213.62  214.62  215.62  216.62  217.62  218.62
  219.62  220.62  221.62  222.62  223.62  224.62  225.62  226.62  227.62  228.62
  229.62  230.62  231.62  232.62  233.62  234.62  235.62  236.62  237.62  238.62
  239.62  240.62  241.61  242.61  243.61  244.61  245.61  246.61  247.61  248.61
  249.61  250.61  251.61  252.61  253.61  254.61  255.60  256.60  257.60  258.60
  259.60  260.60  261.60  262.60  263.60  264.59  265.59  266.59  267.59  268.59
  269.59  270.59  271.59  272.58  273.58  274.58  275.58  276.58  277.58  278.57
  279.57  280.57  281.57  282.57  283.57  284.57  285.56  286.56  287.56  288.56
  289.56  290.55  291.55  292.55  293.55  294.55  295.55  296.54  297.54  298.54
  299.54  300.54  301.53  302.53  303.53  304.53  305.53  306.52  307.52  308.52
  309.52  310.52  311.51  312.51  313.51  314.51  315.51  316.50  317.50  318.50
  319.50  320.50  321.49  322.49  323.49  324.48  325.48  326.48  327.48  328.47
  329.47  330.47  331.47  332.46  333.46  334.46  335.45  336.45  337.45  338.45
  339.44  340.44  341.44  342.44  343.43  344.43  345.43  346.43  347.42  348.42
  349.42  350.42  351.41  352.41  353.41  354.41  355.40  356.40  357.40  358.40
  359.39    0.39    1.39    2.39    3.39    4.38    5.38    6.38    7.38    8.38
    9.37   10.37   11.37   12.37   13.37   14.36   15.36   16.36   17.36   18.36
   19.36   20.36   21.35   22.35   23.35   24.35   25.35   26.35   27.35   28.34
   29.34   30.34   31.34   32.34   33.34   34.34   35.34   36.34   37.34   38.34
   39.34   40.33   41.33   42.33   43.33   44.33   45.33   46.33   47.33   48.33
   49.33   50.33   51.33   52.33   53.33   54.33   55.33   56.33   57.33   58.33
   59.33   60.33   61.33   62.34   63.34   64.34   65.34   66.34   67.34   68.34
   69.34   70.34   71.34   72.34   73.34   74.35   75.35   76.35   77.35   78.35
   79.35   80.35   81.36   82.36   83.36   84.36   85.36   86.36   87.37   88.37
   89.37   90.37   91.37   92.37   93.38   94.38   95.38   96.38   97.39   98.39
   99.39  100.39  101.39  102.40  103.40  104.40  105.40  106.41  107.41  108.41
  109.41  110.42  111.42  112.42  113.43  114.43  115.43  116.43  117.44  118.44
  119.44  120.44  121.45  122.45  123.45  124.46  125.46  126.46  127.47  128.47
  129.47  130.47  131.48  132.48  133.48  134.49  135.49  136.49  137.50  138.50
  139.50  140.50  141.51  142.51  143.51  144.52  145.52  146.52  147.53  148.53
  149.53  150.53  151.54  152.54  153.54  154.55  155.55  156.55  157.56  158.56
  159.56  160.56  161.57  162.57  163.57  164.57  165.58  166.58  167.58  168.59
  169.59  170.59  171.59  172.60  173.60  174.60  175.60  176.61  177.61  178.61
  179.61  180.61  181.62  182.62  183.62  184.62  185.63  186.63  187.63  188.63
  189.63  190.63  191.64  192.64  193.64  194.64  195.64  196.64  197.65  198.65
  199.65  200.65  201.65  202.65  203.65  204.66  205.66  206.66  207.66  208.66
  209.66  210.66  211.66  212.66  213.66  214.66  215.66  216.67  217.67  218.67
  219.67  220.67  221.67  222.67  223.67  224.67  225.67  226.67  227.67  228.67
  229.67  230.67  231.67  232.67  233.67  234.67  235.67  236.67  237.67  238.66
  239.66  240.66  241.66  242.66  243.66  244.66  245.66  246.66  247.66  248.66
  249.66  250.65  251.65  252.65  253.65  254.65  255.65  256.65  257.64  258.64
  259.64  260.64  261.64  262.64  263.64  264.63  265.63  266.63  267.63  268.63
  269.62  270.62  271.62  272.62  273.62  274.61  275.61  276.61  277.61  278.61
  279.60  280.60  281.60  282.60  283.59  284.59  285.59  286.59  287.58  288.58
  289.58  290.58  291.57  292.57  293.57  294.57  295.56  296.56  297.56  298.56
